Author,Rating,Review_Title,Review
shop12,5,new features make reading easier,"I replaced my kindle that I had for 4 years with the new one and after a short time was able to access all my books and continue reading the book that I was reading before I bought the new kindle. I am pleased with the new touch screen for moving to the next page, like that this one is smaller and easier to take in my purse. I did purchase a case and it is protective and durable. I will enjoy this kindle for years to come"
hlmjbm,5,Great product for travel,I am very pleased with this purchase. It is lightweight and the smaller size enables me to carry it easily. This Kindle allows me to read out in the sun without any glare. The only suggested improvement would be a lighted display to enable reading at night.
Adams,5,Good,I loved this Kindle which is even better. It's a gift to a very important friend. Now he is unable to hold a book open with. He says that is easy to read but even lighter is wonderful.
RDDG,5,Kindle,"Do you like to read? If so this is an excellent device. There are better devices, but at this price you are not going to find a comparable product."
Robe12,4,Good Deal for the Price,The Amazon Kindle is light weight and easy to use.
geoshox,5,Perfect read,Very useful for night time reading responsive and intuitive display
mike5800,4,Family Sharing Tool,"Use the Kindle apps on Android phones and tablets, but apps don't support family sharing. These Kindles are great (and inexpensive) for that purpose."
randy,4,love the kindle,"my wife had a kindle for 10 years and it finally died on her , this was a great replacement"
jjhippo,5,Good price excellent reader,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.
Spartan51,5,Makes reading easier,"Overall good product, bought two for my parents and they loved it!"
Dissatisfied,1,HATE IT!!!!!,Am used to Kindle Fire which I love. No light to read by in the dark. Hard to navigate. This was a gift - would never purchase on my own.
irratated,5,My Lifesaver,I absolutely LOVE my kindle. I go nowhere without it. It has kept me entertained for hours. Don't have to keep up with books that get torn or lost. I would and DO RECOMMEND a kindle for EVERYONE
elpj56,5,Exactly what I needed,This is what I needed not fancy just simply used for reading books. Easy to use and battery lasts for quite a while.
Juj14,4,Loving it!,"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare."
johnjohn,5,great update,"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update."
Albert,5,Great for price,It very convenient it small and it work awesome can put in my purse or
wcy405100,5,nice gift,It's a perfect gift for young adult during the holiday session.
Bertram,5,"Nice item, great price",I had always been looking to upgrade my original Kindle. I love the new touch features and display on this one. The size also makes it very easy to transport.
Msimon,4,For mom,"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use."
quickshot,4,works well easy to see,I like the contrast it is easy to read on outside.
horseman,5,"I've had one before, so I knew I'd be happy","I prefer the Kindle to a book. I like the change of letter size, storing many, many books, and the ease of carrying it. I love to read when I travel, and this is the way to go."
Rusty,4,Great entry level e-reader,"I purchased this Kindle for my wife because her Kindle Fire gives off too much glare to use in sunny conditions. Besides being able to use it while riding in the car during daytime, the biggest advantage she found is that it is significantly lighter than the Fire. Since she reads for hours on end that is a big plus. The main drawback is that the graphics aren't as clear with this reader. All in all, it was money well spent."
cookie1982,5,good for my teenager,Very easy to handle. many books to choose from and very convenient
mother,4,good design,I like the changes that have been made since my current 4 year old unit was purchased
PauloRS,4,Excellent for readers,"I always wanted one of those, but they were too expensive compared to a tablet. But now I am loving it!"
Amazon,5,Great e reader,"Used it and looks very paper like. They integrated the simplest form of an e reader, which makes it stand out for its use."
Andrea,4,My Second Kindle,"This is my second Kindle and I love it! It's so convenient to be able to carry around hundreds of books without the bulk and weight of literally carrying around hundreds of books. I just wish I could have bought accessories at Best Buy. Also, the sales rep knew nothing about the devices and had to 'Goggle' info on her phone."
Fievel22,3,Good for the price,"This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage. But for the price, it works good."
natick,5,good product and quick service,My nephew is going to high school and the kindle is a great gift for him. Bestbuy has good selection and the price is good too!
Ravi,5,Great e-Reader for a beginner,I had read reviews. It is just like what reviews said. It is really good. I still have to try some features. Probably I should have gone for Kindle Light. Maybe next time. But for now I am totally satisfied.
Hokie24,5,"Great for our daughter, she loves it.","Perfect for our young daughter, its a perfect size and she can use it very easily."
Ravi,3,Screen Size could be bigger,The screen size could be bigger like the earlier versions of kindle.
Missy,5,Great for reading.,Love not having to carry books and being able to get a variety of books.
JediMaster,5,"Not bad, little pricy","It's a great product, I would buy another for a family member. I do hope they lower the price a little in the future"
rmwarriors,5,Good ebook,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.
lopez,5,good product,"I love this kindle, the price is good, not too heavy and I charge once every two weeks"
WINDY,4,NEW AND IMPROVED,"This is my eighth Kindle. Some others were either lost or screen-damaged. I bought it as a spare. Current model is better looking than earlier versions (white case), sturdier, and has an improved screen. Great price also; wish I'd bought two."
pasas,5,best for reading!!!!!!!!!!,"im loving this Amazon kindle reader, its the easy one to use."
flexorcist,4,Great Product,"Simple, great buy for your money if you are an avid reader."
Mickey,2,"The screen is too dark, and cannot adjust it","The screen is too dark, and cannot adjust the brightness"
Santi10721,5,Gift,I've got this as a gift for my grandmother and she's not tech savvy but she can work a kindle. She loves to read and is very pleased with it.
shhimreading,5,Simple and Easy To Use,"I haven't used any other kindle before, but this kindle was made to do its job and it does it properly. It is sleek, lightweight and sturdy. I love putting it in my bag and taking it with me wherever I go - just in case I get a chance to read. Like it says in the description, you can download books and read it anywhere - you don't need wifi to read. Battery life is great. It has a matted screen and you can make the font as big or as small as you want. The down side is that the screen is small, so you can only get through so much before you have to flip the screen. Also there is no brightness controller for the screen so you can only read it where it's light. But I honestly love my kindle, it does it's job and I don't want anything that get's fancier than this."
Bill,4,Work,Item work well and was easy to read from in day light
Gadgets,5,Good beginners reader,This is a entry level ereader that only allows you to read in the day...you will not be able to read in the dark
Hoagies5,5,Super sweet little reader,We open the box. We download a book. It's like magic. The words the phrases the complete sentences. So cool!!!
Pritha,5,You will love it,This is a great product. Light weight. I wish it has wifi to download from online.
noname,5,good product,My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.
Mktg,5,perfect for reading for my child,purchased for my child to read - works as expected and for the price it was a good option
Staysee,5,Replaced my old kindle with this one,"I really enjoy the basic amazon kindle and best buy had a great deal on it when I purchased it. It's very easy on the eyes and there is no glare when reading outside even on a sunny day just as advertised. It has the look of book in that sense. I was able to order this online and ""pick up in store"" and it was very convenient because I was low on time. I highly recommend this product to any avid reader and anyone looking to make the jump to an eReader. A few other great features are the long battery life, it's light and small and very easy to take on the go."
Bearsfan,5,Love the product,I love my kindle it makes it so much easier to read books instead of having to carry them with me
Chris,3,Good for books,The kindle is good to download apps for books catch up with reading
princess84314,5,Now I can have all of the books!,"My first e-reader, and I have been filling it up fast. Great for travel!"
danielson,5,Love it.,"Nothing bad to say about the Kindle. I knew what I was getting when I got it, and it hasn't disappointed."
Arnab,4,Works Best for Avid Readers,"BestBuy was offering some discounts during Thanksgiving and this prompted me to buy. I was not an avid before and just casually bought this product. But I must admit, I am not at all disappointed with this. Works best with English books, does not work that well with native books. Also, this product is not backlit and does not have any option to increase the screen brightness and I would deduct 1 star for that. You need to install another product called Calibre in your computer to convert books to Kindle readable format (mobi). Kindle can also read PDF, but mobi format is better readable compared to Kindle."
hiyasar,4,Nice affordable e-reader,"Good e-reader, with an improved design, light-weight"
Hikjer,5,Love the touch screen,"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons."
Maypop,4,Easily down loaded.,Had problem with cutting off device. Good easy read
MrNJ,5,Good replacement for old devices,"This was purchased as a replacement for an aging third party e-reader. It is light weight, compact, easy on the eyes while reading and has a long battery life. The Kindle library has a wide variety of books, many of which are free. The one draw back for some people may be that the lock-screen has ads. This is only on the lock-screen, the ads don't appear while using the device and Amazon can permanently remove the ads for a fee."
Ajweb5,4,It was a gift for our mother.,It was easy to se up but the recipient wished it has an actual manual that you didn't have to download to print a copy. She has yet to use it outside due to weather at this time.
Priyesh3d3,5,Nice Product of Kindle begineers,"Product is good, light. Amazing battery backup. I charge the Kindle one in 4 weeks. Great product for reasonable price. USB connection is easy, Books are easy to download. Overall, everyone must have Kindle with them and this is the best product/model to start with.Understandably, this is the beginner level model for people who never used Kindle before. Features like LED lights, White paper background are not available on this model. These features are there on higher models so one cannot read it in Dark without lights. But again, for this price you would not get any other good readers.If you are someone who reads in dark then I would suggest go for Higher Kindle models."
Reader,4,Great size and quality,Good size for reading and screen is easy to read. Even in sun light this was very easy to read and it fit into n small bag to carry around
Staticclark,4,Incredible,"I'm an optimist, and I tend to give 5 Star reviews more than anything. Which I've had people make a comment about that. However, I cannot give a 5-star review on this because it's such a simple unit, and with technology these days it should not be as expensive as it is. That being said, the display will blow your mind, it looks like real paper. I highly recommend."
Junior,4,Good price,This was a gift for my girlfriend. She loved due to the fact that it was small and compacted ..
Erii,5,Love my Kindle,It allows me to read without using space in my phone.
MissJanetLee,5,Great readet,I'm an avid reader. The Kindle is my go to for ease. It fits in my purse or knitting bag and stays charged for days.
Shanmarie,5,Love Kindle!,I bought this one for my mom because I love mine so much
lixhehe,4,Good!,It is very good. I like it. I will buy more items on bestbuy.com.
lixhehe,4,Great!,Great! It's very good. I will buy it next time. Thanks.
shibu,4,Good,"Good, but unhappy that screen size is small, less than I expected"
Chillypr,3,Does its job,It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright
Anton,4,Gets It Done,"The Kindle 8 is an inexpensive eReader that does what I need in the smallest, thinnest, lightest package. I want it for travel and portable convenience when a full-size tablet is too big and heavy. It's perfect."
MDeezyH2,5,Perfect,My first Kindle and I love it. No backlight and perfect view in the sun are awesome.
BeeRocker,5,Great for reading on the go,"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers."
thehands,5,Finally started reading again,"Love my new Kindle! I hadn't read in a while and hesitant of a kindle, easy to use, lightweight and convenient to pick up a book. great for outdoor reading. only downside is if you want to read in the dark has no back light. crisp clear text and easy to set up."
wyosun,5,Excellent reader,This is a great quality reader. Print on it is very clear and it is easy to use.
Splorticus,5,Great mid-range Kindle,"This Kindle doesn't have a lighted screen like the pricier models but it has a higher dpi screen than the lower model. It's exactly what I needed, nothing more, nothing less. I've had no problems with the reader at all so far so I'll give it 5 stars."
kkai,3,Reading device,"I bought it cause I wanted to read more. That didn't happen, I tried and I just can't read on devices I need old school paper between my hands"
Ed51648,5,A Terrific and Highly Appreciated Gift,I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!
kdla,4,Great,"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome"
2112,5,It is what it is,"Not the paperwhite, but for the price I paid works great for my kids to carry around multiple books they need to read for school"
tmcg,3,Can it be used with the library?,It is difficult to understand the instructions. I am still working on it.
Tupiman,5,Great product at great price.,I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.
LoveTech,4,"Good reader, charge lasts forever.","This is the perfect reader. Price is great, it's easy on your eyes. Battery lasts longer than a tablet."
Andy,5,This is a great reader!,"At first I was a bit skeptical about the sensitivity of the touch screen on these new kindles, but it has been great. The reading is very smooth and I am quite please with this purchase."
Rain,5,Nice ereader,"Just what I needed, lightweight and easy to download books from the library"
FlavaDizzave,5,kids love their Kindles,easy for my kids - 8 and 11 to use the kindle for night time reading
newkindle,4,easy to use / easy to start,First time user - had no problem getting started - must have internet connection and know name and password for wi-fi
ApplePicker,4,Great for the park or the beach.,"I read a lot on the iPhone and iPad which also have Kindle apps that are good, but there is too much glare on their screens on a bright, sunny day; this little Kindle without a backlight is a nice solution to that problem. The recent sale price made it practical to get one, and I'm glad I did."
1981,4,easy on the eyes,easy on the eyes and perfect for travel. battery life is a +
Sandycheeks,5,Great size for travel,"I love how compact this kindle is, I'm able to put it in my gym bag, backpack, and my purse. The screen is a plain white which is great for reading because you don't get a glare, I just wish Best Buy offered a case for it I had to purchase one from amazon."
Eddeb3,5,Kindle - Great Digital Book,So simple to set up a caveman could do it and still have time to get some reading in!
ArmyNINJA,5,Great device to kill time!,Kindle just keeps getting better. This device is the perfect size to pack away for a business trip to kill some time reading a book or even uploading your documents to access them quickly.
Lish,5,Awesome Kindle,"I love this kindle. I've never had one before but I would definitely recommend one to those that are avid or casual readers. No glare, easy to use, easy to bring anywhere."
steven,5,Gives you all it promised,"I love my Kindle black. I can read for hours without making my eyes sore the way a phone screen would. The functions are easy to use. Everything is set up clearly and simply. It's shape is adorable, and it's surprisingly light. The battery does last a long time."
Charmi,5,Great light reader. Easy to use at the beach,This kindle is light and easy to use especially at the beach!!!
James,5,Good for reading outside.,This was a purchase made for a cruise. I could not see my fire in the sun.
JAY10001,5,Great product,Excellent base model e-reader. Nice to use inside or outside.
merry,4,not good quality,I bought my Kindle about 2 months ago and the battery is already dead and will not charge
Ckkparker,3,"Amazon Kindle, Black","For me, the Kindle Black was not a good fit for me. There are times I read at night in bed when my husband is sleeping. This model doesn't have a back light so I'm unable to read at night without turning on a light and waking up my husband.So I returned and went for a Kindle Fire."
Updt,5,Awesome,"It's exactly what you'd think it would be. No more, no less...a perfect e-reader for traveling and backpacking."
raddish,5,My second Kindle,Love the new Kindle. Priced right. Perfect size. Take it with me everywhere.
Yesh,5,Great product,Very easy basic e book reader. Good for beginners to start
Christine,5,Great purchase,It is just like reading a book only it's way more convenient! The background has the same look as the pages of a real book.
Rswd10,5,Reading is cool,Love my kindle ! I enjoy reading everyday and I can easily throw in my bag with out it adding any weight .
TXphotog,5,"Great size, battery is awesome!","What can I say, if you enjoy books and magazines it's hard to beat. Not backlit but not an issue for me. I take it everywhere and enjoy this version very much."
ReadingMachine76,4,Could be better,"This Kindle is nice and my wife who is an avid reader likes the screen quality but truthfully does not like being ""pigeon-holed"" by Amazon for every book or story. Having to go through them for nearly everything greatly declines from the ease of use of the various functions. The need to find or put her existing library into Amazon in order to use it on the Kindle is ridiculous and annoying. Once again a another good product being sadly limited due to a monopoly."
yhmitchell,5,Great Product,"I love the Kindle, it is a great product. It reduces eye strain so I enjoy reading on it. This is my second Kindle."
Flipbrickz888,5,Great as advertised,If you are into reading then this is for you. I didn't think the paperwhite is necessary if you have a well lot room. Great for reading outside.
Jpan5447,5,Great E-Reader,This is a great product and i would recommend it to anyone that enjoys reading.
Lexx,5,Love it!,I love how portable this Kindle is. It fits right in my purse and makes it so I can read whenever and wherever I have free time.
VirginiaSlim,5,Great E-reader,Kindle is the perfect E-reader. Easy to use and size is perfect to bring 'book' on the go.
Karenk,4,Great ereader,Bought for my granddaughter she loves it. She is starting her first series
MusicMan,4,The home screen is not terribly easy to navigate.,"When you first turn on the kindle, the home screen does not make it easy to determine exactly how to open up and read a downloaded book."
Jackie,5,Great readers,Good product for child. Who only need to read the books
johnjohn,5,Child loves her Kindle,"I bought this for my daughter. It is our 4th Kindle bought within the family. The touchscreen is great and my daughter loves it. In fact, those of us with older model Kindles are jealous."
Mark,4,Good reader,"The battery doesn't last as long as was advertised, if you have the money I would recommend the backlit model."
Kathy,5,Easy and simple,Love the simplicity. Also love that I use it for reading only and can't download distracting apps.
st2005,5,Great e-reader for beginners,"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device"
jerseygirl,4,Kindle,"Fought it for a long time, but Kindle is awesome. The newer version with adjustable light is best for me."
Alber,4,It's good,I liked my really old one a bit better. It broke after 5 years suddenly. The screen failed. I had to pay over 20 bucks extra to get rid of the ads to Amazon. I wasn't aware of this when I first bought so it was more expensive than expected.
Cubfan,5,LOVE MY KINDLE,"OK, I was so unsure of this Kindle because it does not have all of the bells and whistles of the others. BUT I am very happy with it. I love my Kindle! I have managed to read a book a week on it sicnce I got if for Christmas. I have been reading the free books on Kindle. There are so many to pick from. While home, I download the books that I want to read and then while I am in the car or waiting at the DMV, I just pull of the book and read. It remembers where I am in the book. This Kindle does not have the back light. I was nervous about that but so far this has not been a problem because the light it has is fine for me. When I am reading in the car, I enlarge the font and it makes seeing the words easier for me. That is the most important factor for me because I can get car sick if I read while riding in the car but with the larger font I don't have that problem. I wear glasses with bifocals and holding this seems to be more comfortable than a book because I can hold it up if I need to. The size is perfect! Again, I can enlarge the font so the smaller screen size really has nothing to do with the readability. Love it!!"
simba,3,too many bells and whistles,"I just broke my 3rd generation kindle after many years, had to get a new one...the new kindle has more features in an intrusive format, it is hard to get books loaded, deleted, collected, and even to turn the page..an inadvertant tap on the wrong part of the page, or a twitchy finger, and you're down the rabbit hole..I really just want a reader, not another tablet"
Beachbuckeye,5,Perfect for kids,"My daughter loves her new kindle, now she can pick from hundreds of books."
LenTaylorWrites,5,Great Daytime Reader,If you want to read anytime where there's a light source this is thereafter for you. If you do a lot of night reading the paper white is cheaper considering the add kns you will have to buy for the base model.
JeremyRem,4,Present for my dad,"Got it as a gift for my dad, so far so good.Didn't not realise the special offers are ads, spend more money to buy the one with out them.Also hate the fact they removed the wwan connection, you now need wifi to connect to the store."
TinLexington,5,Good Product,"Overall good product, does what is advertised, comfortable to use."
JimA,4,Great,"Great buy, do a lot of reading and he no glear screen is awesome while in the sun."
Gifter,2,Lots of problems. Want my old one back,1st kindle screen failed & had to reboot often. Customer Service couldn't fix. Replaced. 2nd one screen reboots often. Customer service offered replace. Just want one that works. Can't get upgrade replacement
nest1819,3,No like,This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.. this was not easy to read for me
ddrraz,5,great device,Excellent lightweight way to take a lot of reading materials along when traveling.
MARKNER,5,Amazing device for the price!,I used to prefer paper or hardback books but found I had more access to read online. With the kindle I have been able to access my growing library and the battery life is amazing.
Karthik,5,Best buy,Got it to gift to my friend. Absolutely loved it. Good value.
Yo40,5,Kindle,Exactly what I was looking for size wise and functional.
Mawcee,5,The lighting is great,I really enjoy reading and on my iPad was hurting my eyes. This Kindle really works great.
Chelsea,5,Great!,I love this kindle! It's a life saver when I'm bored at the doctors office!
Steve,5,great for reading,i liked t because its not harmful to my eye like the monitor or the mobile its the best choice for reading
raulsk,5,Much better than previous generation,Much sleeker and touch response is better. Even wifi connection seems faster might be due to new processor and increase in RAM
MrNewYork,4,Totally does the job,"Very happy with this ""basic"" ereader. Battery is great, visibility is great (even though it's not a ""paperwhite""), and form factor is comfortable. Special offers (ads) are totally non-invasive and I hardly notice anything; especially since I use the reader with wifi turned off. Sometimes I wish the power button was on the top of the device rather than bottom where I feel I'm more likely to accidentally press it, but hardly a true problem."
Chipper,5,Excellent product,I've been using a Kindle almost exclusively and decided to give this one as a Birthday present. Very excited recipient!
Lttommy,5,Great for people who like to read,Very easy to use and with amazon have loads of books to access
AB79,5,Great for book reader,Great price and works great for book reading. Would recommend
Nickname,5,Great,Great. Great quality. It's like reading a real book
Luigi,5,Great Kindle,"Great kindle for my needs, it is easy to use and comfortable."
Tigger,5,Love kindle,Have been using my kindle app on my iPad for years but now can't Imagine using anything besides my kindle to read. Love the backlight so I can read at night.
Bigdave,4,Great to start reading ebooks on.,The kindle has a wide variety of ebooks that I thouroughly enjoyed taking on my adventures.
Linda,5,Wonderful product for a senior.,I bought this for my mom. The type is adjustable and it has a backlight for easy reading !
LeeT,5,Great inexpensive e-reader,The kindle e-readers are the best on the market. While this one doesn't include the built in light it is great for the beach and is still the lightest and smallest version.
Boby,5,My daughter loves,Daughter loved this as a gift. She get migraines if she were to read Ebooks on her normal tablet or phone the screen is dull like a book page which leave it easy on her eyes and fingers crossed no headaches
Tfisher,4,Love my kindle,"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work"
Stu76,5,Great reader with long battery life,"I bought this Kindle Paperwhite for my son to use at school, instead of his more expensive and delicate tablet. The display options make it adaptable for just about anyone, and is much easier on the eyes when reading for an extended period of time. Please keep in mind that this does not have a glowlight. The Kindle is durable, and although I bought a case for it, a case really isnt necessary if you are relatively careful with it. The most surprising thing about this has been the extra long battery life. My son is an avid reader, and noticed that he needs to charge his Kindle considerably less than when he uses his tablet."
Abie,5,Great kindle,easy to use and has enough space. I highly recommend this product. Also a great gift
GANESH,5,Excellent Product,I can download my pdf file and read in this kindle. I am satisfied with the performance.
Sean242,5,feels like a real book,"Love my kindle, makes reading at night so easy and it feels like you are reading a real book."
Azcokindleaddict,4,Love the kindle,"This is my second kindle. As I travel a lot, I love the ability to get electronic versions of books both through Amazon and my local library."
Alberto,4,It's great but you need to pay extra for ad free,The Kindle is amazing. This is my second one. The price was misleading however as I had to pay something like another extra 30 bucks to get rid of the ads. Just know that
Kimmie,4,Great for the price,First kindle debated between this one I got and the back lit version. Very pleased It's compact easy to tote. Using at the beech this week. I have Amazon prime so I get free downloads on books . It is easy to use . I think I would definitely recommend this product to others.
Chris,5,Great little device,"Wasn't a fan of having to get one of these (I'm kinda old school...I like book) but, it really was a nice device. Easy to use and read from. Glad I got it!"
